index,REPLACE1,REPLACE2,REPLACE3,REPLACE4,REPLACE5,REPLACE6,REPLACE7,REPLACE8,REPLACE9,REPLACE10,REPLACE11,REPLACE12,REPLACE13,REPLACE14,REPLACE15,REPLACE16,REPLACE17,REPLACE18,REPLACE19
45,Eiffellithus_parallelus,Eiffellithus parallelus,"Perch Nielsen, 1973",Eiffellithus,Eiffellithus_parallelus_Geologic_Range,Eiffellithus parallelus Geologic Range,Eiffellithus_parallelus_Base_Time,Eiffellithus parallelus Base Time,Eiffellithus_parallelus_Top_Time,Eiffellithus parallelus Top Time,Eiffellithus_parallelus_Base_NumericTime,Eiffellithus parallelus Base NumericTime,Eiffellithus_parallelus_Top_NumericTime,Eiffellithus parallelus Top NumericTime,74.74,74.74,Null,Null,E.  parallelus
46,Biscutum_dissimilis,Biscutum dissimilis,"Covington, 1994",Biscutum,Biscutum_dissimilis_Geologic_Range,Biscutum dissimilis Geologic Range,Biscutum_dissimilis_Base_Time,Biscutum dissimilis Base Time,Biscutum_dissimilis_Top_Time,Biscutum dissimilis Top Time,Biscutum_dissimilis_Base_NumericTime,Biscutum dissimilis Base NumericTime,Biscutum_dissimilis_Top_NumericTime,Biscutum dissimilis Top NumericTime,Null,Null,Null,Null,B.  dekaenelii
47,Tortolithus_caistorensis,Tortolithus caistorensis,"Bown, 1987",Tortolithus,Tortolithus_caistorensis_Geologic_Range,Tortolithus caistorensis Geologic Range,Tortolithus_caistorensis_Base_Time,Tortolithus caistorensis Base Time,Tortolithus_caistorensis_Top_Time,Tortolithus caistorensis Top Time,Tortolithus_caistorensis_Base_NumericTime,Tortolithus caistorensis Base NumericTime,Tortolithus_caistorensis_Top_NumericTime,Tortolithus caistorensis Top NumericTime,Null,Null,72.21,72.21,T.  cypella
48,Monomarginatus_quaternarius,Monomarginatus quaternarius,"Wind & Wise in Wise & Wind, 1977",Monomarginatus,Monomarginatus_quaternarius_Geologic_Range,Monomarginatus quaternarius Geologic Range,Monomarginatus_quaternarius_Base_Time,Monomarginatus quaternarius Base Time,Monomarginatus_quaternarius_Top_Time,Monomarginatus quaternarius Top Time,Monomarginatus_quaternarius_Base_NumericTime,Monomarginatus quaternarius Base NumericTime,Monomarginatus_quaternarius_Top_NumericTime,Monomarginatus quaternarius Top NumericTime,Null,Null,72.1,72.1,M.  quaternarius
49,Tranolithus_orionatus,Tranolithus orionatus,"(Reinhardt, 1966a) Reinhardt, 1966b",Tranolithus,Tranolithus_orionatus_Geologic_Range,Tranolithus orionatus Geologic Range,Tranolithus_orionatus_Base_Time,Tranolithus orionatus Base Time,Tranolithus_orionatus_Top_Time,Tranolithus orionatus Top Time,Tranolithus_orionatus_Base_NumericTime,Tranolithus orionatus Base NumericTime,Tranolithus_orionatus_Top_NumericTime,Tranolithus orionatus Top NumericTime,110.73,109.96,71.02,70.94,D.  orionatus
50,Biscutum_coronum,Biscutum coronum,"Wind & Wise in Wise & Wind, 1977",Biscutum,Biscutum_coronum_Geologic_Range,Biscutum coronum Geologic Range,Biscutum_coronum_Base_Time,Biscutum coronum Base Time,Biscutum_coronum_Top_Time,Biscutum coronum Top Time,Biscutum_coronum_Base_NumericTime,Biscutum coronum Base NumericTime,Biscutum_coronum_Top_NumericTime,Biscutum coronum Top NumericTime,Null,Null,Null,Null,B.  boletum
51,Reinhardtites_levis,Reinhardtites levis,"Prins & Sissingh in Sissingh, 1977",Reinhardtites,Reinhardtites_levis_Geologic_Range,Reinhardtites levis Geologic Range,Reinhardtites_levis_Base_Time,Reinhardtites levis Base Time,Reinhardtites_levis_Top_Time,Reinhardtites levis Top Time,Reinhardtites_levis_Base_NumericTime,Reinhardtites levis Base NumericTime,Reinhardtites_levis_Top_NumericTime,Reinhardtites levis Top NumericTime,74.84,69.18,70.14,70.14,R.  levis
52,Lithraphidites_quadratus,Lithraphidites quadratus,"Bramlette & Martini, 1964",Lithraphidites,Lithraphidites_quadratus_Geologic_Range,Lithraphidites quadratus Geologic Range,Lithraphidites_quadratus_Base_Time,Lithraphidites quadratus Base Time,Lithraphidites_quadratus_Top_Time,Lithraphidites quadratus Top Time,Lithraphidites_quadratus_Base_NumericTime,Lithraphidites quadratus Base NumericTime,Lithraphidites_quadratus_Top_NumericTime,Lithraphidites quadratus Top NumericTime,69.18,69.18,Null,Null,L.  quadratus
53,Nephrolithus_frequens,Nephrolithus frequens,"Wind, 1983",Nephrolithus,Nephrolithus_frequens_Geologic_Range,Nephrolithus frequens Geologic Range,Nephrolithus_frequens_Base_Time,Nephrolithus frequens Base Time,Nephrolithus_frequens_Top_Time,Nephrolithus frequens Top Time,Nephrolithus_frequens_Base_NumericTime,Nephrolithus frequens Base NumericTime,Nephrolithus_frequens_Top_NumericTime,Nephrolithus frequens Top NumericTime,67.82,67.82(oldest possible),Null,Null,N.  corystus
54,Arkhangelskiella_maastrichtiana,Arkhangelskiella maastrichtiana,"Vekshina, 1959",Arkhangelskiella,Arkhangelskiella_maastrichtiana_Geologic_Range,Arkhangelskiella maastrichtiana Geologic Range,Arkhangelskiella_maastrichtiana_Base_Time,Arkhangelskiella maastrichtiana Base Time,Arkhangelskiella_maastrichtiana_Top_Time,Arkhangelskiella maastrichtiana Top Time,Arkhangelskiella_maastrichtiana_Base_NumericTime,Arkhangelskiella maastrichtiana Base NumericTime,Arkhangelskiella_maastrichtiana_Top_NumericTime,Arkhangelskiella maastrichtiana Top NumericTime,Null,66.84,Null,Null,A.  cymbiformis
55,Cribrosphaerella_daniae,Cribrosphaerella daniae,"(Risatti, 1973) Lees, 2007",Cribrosphaerella,Cribrosphaerella_daniae_Geologic_Range,Cribrosphaerella daniae Geologic Range,Cribrosphaerella_daniae_Base_Time,Cribrosphaerella daniae Base Time,Cribrosphaerella_daniae_Top_Time,Cribrosphaerella daniae Top Time,Cribrosphaerella_daniae_Base_NumericTime,Cribrosphaerella daniae Base NumericTime,Cribrosphaerella_daniae_Top_NumericTime,Cribrosphaerella daniae Top NumericTime,66.74,66.6,Null,Null,C.  circula
56,Micula_murus,Micula murus,"(Martini, 1961) Bukry, 1973",Micula,Micula_murus_Geologic_Range,Micula murus Geologic Range,Micula_murus_Base_Time,Micula murus Base Time,Micula_murus_Top_Time,Micula murus Top Time,Micula_murus_Base_NumericTime,Micula murus Base NumericTime,Micula_murus_Top_NumericTime,Micula murus Top NumericTime,69,Null,66.04,Null,T.  murus
57,Ceratolithoides_kamptneri,Ceratolithoides kamptneri,"Burnett, 1997",Ceratolithoides,Ceratolithoides_kamptneri_Geologic_Range,Ceratolithoides kamptneri Geologic Range,Ceratolithoides_kamptneri_Base_Time,Ceratolithoides kamptneri Base Time,Ceratolithoides_kamptneri_Top_Time,Ceratolithoides kamptneri Top Time,Ceratolithoides_kamptneri_Base_NumericTime,Ceratolithoides kamptneri Base NumericTime,Ceratolithoides_kamptneri_Top_NumericTime,Ceratolithoides kamptneri Top NumericTime,67.82,Null,Null,Null,C.  indiensis
58,Micula_prinsii,Micula prinsii,"Lees & Bown, 2005",Micula,Micula_prinsii_Geologic_Range,Micula prinsii Geologic Range,Micula_prinsii_Base_Time,Micula prinsii Base Time,Micula_prinsii_Top_Time,Micula prinsii Top Time,Micula_prinsii_Base_NumericTime,Micula prinsii Base NumericTime,Micula_prinsii_Top_NumericTime,Micula prinsii Top NumericTime,67.28,Null,Null,Null,M.  premolisilvae
59,Nannoconus_steinmannii,Nannoconus steinmannii,"Kamptner, 1931",Nannoconus,Nannoconus_steinmannii_Geologic_Range,Nannoconus steinmannii Geologic Range,Nannoconus_steinmannii_Base_Time,Nannoconus steinmannii Base Time,Nannoconus_steinmannii_Top_Time,Nannoconus steinmannii Top Time,Nannoconus_steinmannii_Base_NumericTime,Nannoconus steinmannii Base NumericTime,Nannoconus_steinmannii_Top_NumericTime,Nannoconus steinmannii Top NumericTime,143.1,Null,Null,Null,N. steinmannii
60,Stradneria_crenulata,Stradneria crenulata,"Bramlette & Martini, 1964",Stradneria,Stradneria_crenulata_Geologic_Range,Stradneria crenulata Geologic Range,Stradneria_crenulata_Base_Time,Stradneria crenulata Base Time,Stradneria_crenulata_Top_Time,Stradneria crenulata Top Time,Stradneria_crenulata_Base_NumericTime,Stradneria crenulata Base NumericTime,Stradneria_crenulata_Top_NumericTime,Stradneria crenulata Top NumericTime,Null,Null,Null,Null,S. crenulata
61,Calcicalathina_oblongata,Calcicalathina oblongata,"(Worsley, 1971) Thierstein, 1971",Calcicalathina,Calcicalathina_oblongata_Geologic_Range,Calcicalathina oblongata Geologic Range,Calcicalathina_oblongata_Base_Time,Calcicalathina oblongata Base Time,Calcicalathina_oblongata_Top_Time,Calcicalathina oblongata Top Time,Calcicalathina_oblongata_Base_NumericTime,Calcicalathina oblongata Base NumericTime,Calcicalathina_oblongata_Top_NumericTime,Calcicalathina oblongata Top NumericTime,137.41,Null,125.42,Null,C. oblongata
62,Cretarhabdus_loriei,Cretarhabdus loriei,Gartner 1968,Cretarhabdus,Cretarhabdus_loriei_Geologic_Range,Cretarhabdus loriei Geologic Range,Cretarhabdus_loriei_Base_Time,Cretarhabdus loriei Base Time,Cretarhabdus_loriei_Top_Time,Cretarhabdus loriei Top Time,Cretarhabdus_loriei_Base_NumericTime,Cretarhabdus loriei Base NumericTime,Cretarhabdus_loriei_Top_NumericTime,Cretarhabdus loriei Top NumericTime,Null,Null,Null,Null,C. loriei
63,Speetonia_colligata,Speetonia colligata,Black 1971,Speetonia,Speetonia_colligata_Geologic_Range,Speetonia colligata Geologic Range,Speetonia_colligata_Base_Time,Speetonia colligata Base Time,Speetonia_colligata_Top_Time,Speetonia colligata Top Time,Speetonia_colligata_Base_NumericTime,Speetonia colligata Base NumericTime,Speetonia_colligata_Top_NumericTime,Speetonia colligata Top NumericTime,127.99,127.27,Null,136.72,S. colligata
64,Chiastozygus_litterarius,Chiastozygus litterarius,"(Gorka, 1957) Manivit, 1971",Chiastozygus,Chiastozygus_litterarius_Geologic_Range,Chiastozygus litterarius Geologic Range,Chiastozygus_litterarius_Base_Time,Chiastozygus litterarius Base Time,Chiastozygus_litterarius_Top_Time,Chiastozygus litterarius Top Time,Chiastozygus_litterarius_Base_NumericTime,Chiastozygus litterarius Base NumericTime,Chiastozygus_litterarius_Top_NumericTime,Chiastozygus litterarius Top NumericTime,Null,Null,Null,Null,C. litterarius
65,Prediscosphaera_columnata,Prediscosphaera columnata,"(Stover, 1966) Perch Nielsen, 1984",Prediscosphaera,Prediscosphaera_columnata_Geologic_Range,Prediscosphaera columnata Geologic Range,Prediscosphaera_columnata_Base_Time,Prediscosphaera columnata Base Time,Prediscosphaera_columnata_Top_Time,Prediscosphaera columnata Top Time,Prediscosphaera_columnata_Base_NumericTime,Prediscosphaera columnata Base NumericTime,Prediscosphaera_columnata_Top_NumericTime,Prediscosphaera columnata Top NumericTime,112.95,113.17,Null,Null,P. columnata
66,Microrhabdulus_decoratus,Microrhabdulus decoratus,"Deflandre, 1959",Microrhabdulus,Microrhabdulus_decoratus_Geologic_Range,Microrhabdulus decoratus Geologic Range,Microrhabdulus_decoratus_Base_Time,Microrhabdulus decoratus Base Time,Microrhabdulus_decoratus_Top_Time,Microrhabdulus decoratus Top Time,Microrhabdulus_decoratus_Base_NumericTime,Microrhabdulus decoratus Base NumericTime,Microrhabdulus_decoratus_Top_NumericTime,Microrhabdulus decoratus Top NumericTime,96.16,Null,Null,Null,M. decoratus
67,Lucianorhabdus_maleformis,Lucianorhabdus maleformis,"Reinhardt, 1966",Lucianorhabdus,Lucianorhabdus_maleformis_Geologic_Range,Lucianorhabdus maleformis Geologic Range,Lucianorhabdus_maleformis_Base_Time,Lucianorhabdus maleformis Base Time,Lucianorhabdus_maleformis_Top_Time,Lucianorhabdus maleformis Top Time,Lucianorhabdus_maleformis_Base_NumericTime,Lucianorhabdus maleformis Base NumericTime,Lucianorhabdus_maleformis_Top_NumericTime,Lucianorhabdus maleformis Top NumericTime,93.75,93.55,Null,Null,L. maleformis
68,Marthasterites_furcatus,Marthasterites furcatus,"(Deflandre in Deflandre & Fert, 1954) Deflandre, 1959",Marthasterites,Marthasterites_furcatus_Geologic_Range,Marthasterites furcatus Geologic Range,Marthasterites_furcatus_Base_Time,Marthasterites furcatus Base Time,Marthasterites_furcatus_Top_Time,Marthasterites furcatus Top Time,Marthasterites_furcatus_Base_NumericTime,Marthasterites furcatus Base NumericTime,Marthasterites_furcatus_Top_NumericTime,Marthasterites furcatus Top NumericTime,89.86,93.64,80.97,Null,M. furcatus
69,Micula_decussata,Micula decussata,Vekshina 1959,Micula,Micula_decussata_Geologic_Range,Micula decussata Geologic Range,Micula_decussata_Base_Time,Micula decussata Base Time,Micula_decussata_Top_Time,Micula decussata Top Time,Micula_decussata_Base_NumericTime,Micula decussata Base NumericTime,Micula_decussata_Top_NumericTime,Micula decussata Top NumericTime,Null,Null,Null,Null,M. decussata
70,Reinhardtites_anthophorus,Reinhardtites anthophorus,"(Deflandre, 1959) Perch Nielsen, 1968",Reinhardtites,Reinhardtites_anthophorus_Geologic_Range,Reinhardtites anthophorus Geologic Range,Reinhardtites_anthophorus_Base_Time,Reinhardtites anthophorus Base Time,Reinhardtites_anthophorus_Top_Time,Reinhardtites anthophorus Top Time,Reinhardtites_anthophorus_Base_NumericTime,Reinhardtites anthophorus Base NumericTime,Reinhardtites_anthophorus_Top_NumericTime,Reinhardtites anthophorus Top NumericTime,86.57,87.68,74.47,74.47,R. anthophorus
71,Calculites_obscurus,Calculites obscurus,"(Deflandre, 1959) Prins & Sissingh in Sissingh, 1977",Calculites,Calculites_obscurus_Geologic_Range,Calculites obscurus Geologic Range,Calculites_obscurus_Base_Time,Calculites obscurus Base Time,Calculites_obscurus_Top_Time,Calculites obscurus Top Time,Calculites_obscurus_Base_NumericTime,Calculites obscurus Base NumericTime,Calculites_obscurus_Top_NumericTime,Calculites obscurus Top NumericTime,85.29,85.57,Null,Null,C. obscurus
72,Aspidolithus_ex_gr._parcus,Aspidolithus ex gr. parcus,Null,Aspidolithus,Aspidolithus_ex_gr._parcus_Geologic_Range,Aspidolithus ex gr. parcus Geologic Range,Aspidolithus_ex_gr._parcus_Base_Time,Aspidolithus ex gr. parcus Base Time,Aspidolithus_ex_gr._parcus_Top_Time,Aspidolithus ex gr. parcus Top Time,Aspidolithus_ex_gr._parcus_Base_NumericTime,Aspidolithus ex gr. parcus Base NumericTime,Aspidolithus_ex_gr._parcus_Top_NumericTime,Aspidolithus ex gr. parcus Top NumericTime,Null,Null,Null,Null,A. parcus
73,Quadrum_sissinghii,Quadrum sissinghii,Perch Nielsen 1986,Quadrum,Quadrum_sissinghii_Geologic_Range,Quadrum sissinghii Geologic Range,Quadrum_sissinghii_Base_Time,Quadrum sissinghii Base Time,Quadrum_sissinghii_Top_Time,Quadrum sissinghii Top Time,Quadrum_sissinghii_Base_NumericTime,Quadrum sissinghii Base NumericTime,Quadrum_sissinghii_Top_NumericTime,Quadrum sissinghii Top NumericTime,Null,Null,Null,Null,Q. sissinghii
74,Quadrum_trifidum,Quadrum trifidum,(Stradner In Stradner & Papp 1961) Prins & Perch Nielsen in Manivit et al. 1977,Quadrum,Quadrum_trifidum_Geologic_Range,Quadrum trifidum Geologic Range,Quadrum_trifidum_Base_Time,Quadrum trifidum Base Time,Quadrum_trifidum_Top_Time,Quadrum trifidum Top Time,Quadrum_trifidum_Base_NumericTime,Quadrum trifidum Base NumericTime,Quadrum_trifidum_Top_NumericTime,Quadrum trifidum Top NumericTime,Null,Null,Null,Null,Q. trifidum
75,Tranolithus_phacelosus,Tranolithus phacelosus,Stover 1966,Tranolithus,Tranolithus_phacelosus_Geologic_Range,Tranolithus phacelosus Geologic Range,Tranolithus_phacelosus_Base_Time,Tranolithus phacelosus Base Time,Tranolithus_phacelosus_Top_Time,Tranolithus phacelosus Top Time,Tranolithus_phacelosus_Base_NumericTime,Tranolithus phacelosus Base NumericTime,Tranolithus_phacelosus_Top_NumericTime,Tranolithus phacelosus Top NumericTime,Null,Null,72.25,Null,T. phacelosus
76,Lithraphidites_carniolensis,Lithraphidites carniolensis,Deflandre 1963,Lithraphidites,Lithraphidites_carniolensis_Geologic_Range,Lithraphidites carniolensis Geologic Range,Lithraphidites_carniolensis_Base_Time,Lithraphidites carniolensis Base Time,Lithraphidites_carniolensis_Top_Time,Lithraphidites carniolensis Top Time,Lithraphidites_carniolensis_Base_NumericTime,Lithraphidites carniolensis Base NumericTime,Lithraphidites_carniolensis_Top_NumericTime,Lithraphidites carniolensis Top NumericTime,143.74,Null,Null,Null,L. carniolensis
77,Nannoconus_colomii,Nannoconus colomii,(de Lapparent 1931) Kamptner 1938,Nannoconus,Nannoconus_colomii_Geologic_Range,Nannoconus colomii Geologic Range,Nannoconus_colomii_Base_Time,Nannoconus colomii Base Time,Nannoconus_colomii_Top_Time,Nannoconus colomii Top Time,Nannoconus_colomii_Base_NumericTime,Nannoconus colomii Base NumericTime,Nannoconus_colomii_Top_NumericTime,Nannoconus colomii Top NumericTime,141,Null,Null,Null,N. colomii
78,Retecapsa_neocomiana,Retecapsa neocomiana,Black 1971,Retecapsa,Retecapsa_neocomiana_Geologic_Range,Retecapsa neocomiana Geologic Range,Retecapsa_neocomiana_Base_Time,Retecapsa neocomiana Base Time,Retecapsa_neocomiana_Top_Time,Retecapsa neocomiana Top Time,Retecapsa_neocomiana_Base_NumericTime,Retecapsa neocomiana Base NumericTime,Retecapsa_neocomiana_Top_NumericTime,Retecapsa neocomiana Top NumericTime,Null,Null,Null,Null,R. neocomiana
79,Diadorhombus_rectus,Diadorhombus rectus,Worsley 1971,Diadorhombus,Diadorhombus_rectus_Geologic_Range,Diadorhombus rectus Geologic Range,Diadorhombus_rectus_Base_Time,Diadorhombus rectus Base Time,Diadorhombus_rectus_Top_Time,Diadorhombus rectus Top Time,Diadorhombus_rectus_Base_NumericTime,Diadorhombus rectus Base NumericTime,Diadorhombus_rectus_Top_NumericTime,Diadorhombus rectus Top NumericTime,Null,Null,Null,Null,D. rectus
80,Calcicalathina_oblongata,Calcicalathina oblongata,"(Worsley, 1971) Thierstein, 1971",Calcicalathina,Calcicalathina_oblongata_Geologic_Range,Calcicalathina oblongata Geologic Range,Calcicalathina_oblongata_Base_Time,Calcicalathina oblongata Base Time,Calcicalathina_oblongata_Top_Time,Calcicalathina oblongata Top Time,Calcicalathina_oblongata_Base_NumericTime,Calcicalathina oblongata Base NumericTime,Calcicalathina_oblongata_Top_NumericTime,Calcicalathina oblongata Top NumericTime,137.41,Null,125.42,Null,C. oblongata
81,Tubodiscus_verenae,Tubodiscus verenae,"Thierstein, 1973",Tubodiscus,Tubodiscus_verenae_Geologic_Range,Tubodiscus verenae Geologic Range,Tubodiscus_verenae_Base_Time,Tubodiscus verenae Base Time,Tubodiscus_verenae_Top_Time,Tubodiscus verenae Top Time,Tubodiscus_verenae_Base_NumericTime,Tubodiscus verenae Base NumericTime,Tubodiscus_verenae_Top_NumericTime,Tubodiscus verenae Top NumericTime,138.25,Null,133.09,128.61,T. verenae
82,Cruciellipsis_cuvillieri,Cruciellipsis cuvillieri,"(Manivit, 1966) Thierstein, 1971",Cruciellipsis,Cruciellipsis_cuvillieri_Geologic_Range,Cruciellipsis cuvillieri Geologic Range,Cruciellipsis_cuvillieri_Base_Time,Cruciellipsis cuvillieri Base Time,Cruciellipsis_cuvillieri_Top_Time,Cruciellipsis cuvillieri Top Time,Cruciellipsis_cuvillieri_Base_NumericTime,Cruciellipsis cuvillieri Base NumericTime,Cruciellipsis_cuvillieri_Top_NumericTime,Cruciellipsis cuvillieri Top NumericTime,Null,Null,128.82,128.82,C. cuvillieri
83,Parhabdolithus_angustus,Parhabdolithus angustus,"(Stradner, 1963) Reinhardt, 1971",Parhabdolithus,Parhabdolithus_angustus_Geologic_Range,Parhabdolithus angustus Geologic Range,Parhabdolithus_angustus_Base_Time,Parhabdolithus angustus Base Time,Parhabdolithus_angustus_Top_Time,Parhabdolithus angustus Top Time,Parhabdolithus_angustus_Base_NumericTime,Parhabdolithus angustus Base NumericTime,Parhabdolithus_angustus_Top_NumericTime,Parhabdolithus angustus Top NumericTime,Null,Null,Null,Null,P. angustus
84,Prediscosphaera_cretacea,Prediscosphaera cretacea,"(Arkhangelsky, 1912) Gartner, 1968",Prediscosphaera,Prediscosphaera_cretacea_Geologic_Range,Prediscosphaera cretacea Geologic Range,Prediscosphaera_cretacea_Base_Time,Prediscosphaera cretacea Base Time,Prediscosphaera_cretacea_Top_Time,Prediscosphaera cretacea Top Time,Prediscosphaera_cretacea_Base_NumericTime,Prediscosphaera cretacea Base NumericTime,Prediscosphaera_cretacea_Top_NumericTime,Prediscosphaera cretacea Top NumericTime,Null,Null,Null,Null,P. cretacea
85,Axopodorhabdus_albianus,Axopodorhabdus albianus,"(Black, 1967) Wind & Wise 1983",Axopodorhabdus,Axopodorhabdus_albianus_Geologic_Range,Axopodorhabdus albianus Geologic Range,Axopodorhabdus_albianus_Base_Time,Axopodorhabdus albianus Base Time,Axopodorhabdus_albianus_Top_Time,Axopodorhabdus albianus Top Time,Axopodorhabdus_albianus_Base_NumericTime,Axopodorhabdus albianus Base NumericTime,Axopodorhabdus_albianus_Top_NumericTime,Axopodorhabdus albianus Top NumericTime,109.94,108.17,93.98,93.93,A. albianus
86,Gartnerago_obliquum_s._str,Gartnerago obliquum s. str.,Null,Gartnerago,Gartnerago_obliquum_s._str._Geologic_Range,Gartnerago obliquum s. str. Geologic Range,Gartnerago_obliquum_s._str._Base_Time,Gartnerago obliquum s. str. Base Time,Gartnerago_obliquum_s._str._Top_Time,Gartnerago obliquum s. str. Top Time,Gartnerago_obliquum_s._str._Base_NumericTime,Gartnerago obliquum s. str. Base NumericTime,Gartnerago_obliquum_s._str._Top_NumericTime,Gartnerago obliquum s. str. Top NumericTime,Null,Null,Null,Null,G. obliquum s. str.
87,Broinsonia_parca,Broinsonia parca,"(Stradner, 1963) Bukry, 1969",Broinsonia,Broinsonia_parca_Geologic_Range,Broinsonia parca Geologic Range,Broinsonia_parca_Base_Time,Broinsonia parca Base Time,Broinsonia_parca_Top_Time,Broinsonia parca Top Time,Broinsonia_parca_Base_NumericTime,Broinsonia parca Base NumericTime,Broinsonia_parca_Top_NumericTime,Broinsonia parca Top NumericTime,Null,Null,74.79,Null,B. parca
88,Tetralithus_aculeus,Tetralithus aculeus,Bukry & Kennedy 1969,Tetralithus,Tetralithus_aculeus_Geologic_Range,Tetralithus aculeus Geologic Range,Tetralithus_aculeus_Base_Time,Tetralithus aculeus Base Time,Tetralithus_aculeus_Top_Time,Tetralithus aculeus Top Time,Tetralithus_aculeus_Base_NumericTime,Tetralithus aculeus Base NumericTime,Tetralithus_aculeus_Top_NumericTime,Tetralithus aculeus Top NumericTime,79.13,Null,Null,Null,T. aculeus
89,Tetralithus_trifidus,Tetralithus trifidus,"Stradner in Stradner & Papp 1961 emend. Prins & Sissingh, in Sissingh 1977",Tetralithus,Tetralithus_trifidus_Geologic_Range,Tetralithus trifidus Geologic Range,Tetralithus_trifidus_Base_Time,Tetralithus trifidus Base Time,Tetralithus_trifidus_Top_Time,Tetralithus trifidus Top Time,Tetralithus_trifidus_Base_NumericTime,Tetralithus trifidus Base NumericTime,Tetralithus_trifidus_Top_NumericTime,Tetralithus trifidus Top NumericTime,Null,Null,71.3,Null,T. trifidus
90,Lithraphidites_praequadratus,Lithraphidites praequadratus,Roth 1978,Lithraphidites,Lithraphidites_praequadratus_Geologic_Range,Lithraphidites praequadratus Geologic Range,Lithraphidites_praequadratus_Base_Time,Lithraphidites praequadratus Base Time,Lithraphidites_praequadratus_Top_Time,Lithraphidites praequadratus Top Time,Lithraphidites_praequadratus_Base_NumericTime,Lithraphidites praequadratus Base NumericTime,Lithraphidites_praequadratus_Top_NumericTime,Lithraphidites praequadratus Top NumericTime,Null,78.78,Null,Null,L. praequadratus
